ปีการศึกษา,สถาบัน,วิทยาเขต,รหัสหลักสูตร,คณะ/สำนักวิชา,ชื่อหลักสูตร,รายละเอียด,สาขาวิชา/วิชาเอก,รหัสรับร่วม,รับ,สมัคร,ผ่าน,คะแนนต่ำสุด,คะแนนสูงสุด,เกรดเฉลี่ย,TGAT,TGAT1,TGAT2,TGAT3,TPAT3,A-Level คณิตศาสตร์ประยุกต์ 1,A-Level วิทยาศาสตร์ประยุกต์,A-Level ฟิสิกส์,A-Level เคมี,A-Level ชีววิทยา,A-Level สังคมศาสตร์,A-Level ภาษาไทย,A-Level ภาษาอังกฤษ,ค่าน้ำหนักลำดับที่เลือก
2566,มหาวิทยาลัยทักษิณ,พัทลุง,10220202220201A,คณะวิทยาศาสตร์,วท.บ.วิทยาการคอมพิวเตอร์,โครงการรับตรงร่วมกัน (Admission),,0,40,30,5,36.3164,56.9662,,60,,,,40,,,,,,,,,
2566,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,10270102220201A,คณะเทคโนโลยีสารสนเทศและการสื่อสาร,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,Admission,,0,30,167,30,51.8776,73.4552,20,80,,,,,,,,,,,,,
2566,มหาวิทยาลัยศรีปทุม,วิทยาเขตหลัก,40540111220201A,คณะเทคโนโลยีสารสนเทศ (กทม.),วท.บ. สาขาวิชาวิทยาการคอมพิวเตอร์และนวัตกรรมการพัฒนาซอฟต์แวร์,,,j_03,10,45,8,79.5000,98.2500,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยศรีปทุม,วิทยาเขตหลัก,40540111220202A,คณะเทคโนโลยีสารสนเทศ (กทม.),วท.บ. สาขาวิชาวิทยาการคอมพิวเตอร์และนวัตกรรมการพัฒนาซอฟต์แวร์ (Software Full Stack Development),,,j_03,10,27,2,83.7500,91.0000,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยหอการค้าไทย,วิทยาเขตหลัก,40560105220201A,คณะวิทยาศาสตร์และเทคโนโลยี,หลักสูตรวิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์),หลักสูตรวิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์),,0,60,27,5,53.0000,91.0000,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยรังสิต,วิทยาเขตหลัก,40680114220201A,วิทยาลัยนวัตกรรมดิจิทัลเทคโนโลยี,วท.บ.วิทยาการคอมพิวเตอร์,,,0,30,30,14,19.1248,51.4831,,30,,,,,,,,,,30,20,20,
2566,มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,วิทยาเขตหลัก,40730105220201A,คณะวิทยาศาสตร์และเทคโนโลยี,หลักสูตรวิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์),หลักสูตรวิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์),,0,50,24,6,59.2500,96.5000,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยราชภัฏชัยภูมิ,วิทยาเขตหลัก,21420101220201A,คณะศิลปศาสตร์และวิทยาศาสตร์,วท.บ. สาขาวิทยาการคอมพิวเตอร์,,,0,20,8,1,66.0000,66.0000,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยราชภัฏเชียงใหม่,เชียงใหม่,21440103220201A,คณะวิทยาศาสตร์และเทคโนโลยี,วิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,,,0,46,71,32,41.0500,99.1500,20,,,,,,,,,,,,,,80
2566,มหาวิทยาลัยราชภัฏนครราชสีมา,วิทยาเขตหลัก,21480104220201A,คณะวิทยาศาสตร์และเทคโนโลยี,หลักสูตรวิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์),,,0,5,46,5,56.8750,64.7500,50,50,,,,,,,,,,,,,
2566,มหาวิทยาลัยราชภัฏพระนคร,หลัก,21500101220201A,คณะวิทยาศาสตร์และเทคโนโลยี,วท.บ. 4 ปี วิทยาการคอมพิวเตอร์,,,0,20,97,20,80.2500,99.5000,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยราชภัฏสงขลา,สงขลา,21640103220201A,คณะวิทยาศาสตร์และเทคโนโลยี,วท.บ. วิทยาการคอมพิวเตอร์,เกณฑ์การคัดเลือกรูปแบบที่ 2,,0,5,23,5,49.0000,85.0000,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยราชภัฏสงขลา,สงขลา,21640103220201A,คณะวิทยาศาสตร์และเทคโนโลยี,วท.บ. วิทยาการคอมพิวเตอร์,เกณฑ์การคัดเลือกรูปแบบที่ 1,,0,15,61,11,45.7500,92.7500,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยสวนดุสิต,หลัก,11650101220201A,คณะวิทยาศาสตร์และเทคโนโลยี,วท.บ. วิทยาการคอมพิวเตอร์,,,0,50,236,50,50.2428,66.7915,25,50,,,,25,,,,,,,,,
2566,มหาวิทยาลัยราชภัฏสวนสุนันทา,หลัก,21660102220202A,คณะวิทยาศาสตร์และเทคโนโลยี,วท.บ.วิทยาการคอมพิวเตอร์และนวัตกรรมข้อมูล(วิทยาการคอมพิวเตอร์),,,0,60,209,60,72.3750,98.5000,50,,,,,,,,,,,,,,50
2566,มหาวิทยาลัยราชภัฏสวนสุนันทา,หลัก,21660102220302A,คณะวิทยาศาสตร์และเทคโนโลยี,วท.บ.วิทยาการคอมพิวเตอร์และนวัตกรรมข้อมูล(วิทยาการข้อมูลและการวิเคราะห์สถิติเชิงธุรกิจ),,,0,50,33,10,48.8750,81.5000,50,,,,,,,,,,,,,,50
2566,มหาวิทยาลัยราชภัฏอุบลราชธานี,วิทยาเขตหลัก,21710111211657A,คณะวิทยาการคอมพิวเตอร์,วท.บ.เทคโนโลยีมัลติมีเดียและแอนิเมชัน,,เทคโนโลยีมัลติมีเดียและแอนิเมชัน,0,10,27,10,0.0000,96.0000,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยราชภัฏอุบลราชธานี,วิทยาเขตหลัก,21710111220256A,คณะวิทยาการคอมพิวเตอร์,วท.บ.วิทยาการคอมพิวเตอร์,,วิทยาการคอมพิวเตอร์,0,10,33,10,52.2500,92.5000,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยราชภัฏอุบลราชธานี,วิทยาเขตหลัก,21710111220458A,คณะวิทยาการคอมพิวเตอร์,วท.บ.วิศวกรรมซอฟต์แวร์,,วิศวกรรมซอฟต์แวร์,0,20,25,6,51.0000,78.2500,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยราชภัฏจันทรเกษม,วิทยาเขตหลัก,21770105220201A,วิทยาศาสตร์,วิทยาการคอมพิวเตอร์และปัญญาประดิษฐ์ (วท.บ),,,0,10,23,4,39.8610,53.3330,,100,,,,,,,,,,,,,
2566,มหาวิทยาลัยราชภัฏเพชรบุรี,วิทยาเขตหลัก,21790107220237A,เทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,,,0,10,8,1,92.0000,92.0000,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยสยาม,วิทยาเขตหลัก,41810107220201A,คณะวิทยาศาสตร์,วท.บ.  วิทยาการคอมพิวเตอร์,,,0,30,11,1,87.2500,87.2500,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,วิทยาเขตหลัก,31910109220201A,คณะวิทยาศาสตร์และเทคโนโลยี,วิทยาการคอมพิวเตอร์,,,0,40,231,40,89.7500,99.0000,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,คณะ/สถาบันในส่วนกลาง,31930106220201A,วิทยาศาสตร์และเทคโนโลยี,วิทยาศาสตรบัณฑิต (วท.บ.) สาขาวิชาวิทยาการคอมพิวเตอร์,,,0,20,50,16,43.5000,96.7500,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,วิทยาเขตจักรพงษภูวนารถ,31930204220201A,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาศาสตรบัณฑิต (วท.บ.) สาขาวิชาวิทยาการคอมพิวเตอร์,,,0,40,33,6,54.5000,97.0000,100,,,,,,,,,,,,,,
2566,มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา,น่าน,31960302220201A,คณะวิทยาศาสตร์และเทคโนโลยีการเกษตร,วท.บ. วิทยาการคอมพิวเตอร์,,,0,5,3,1,51.5270,51.5270,,100,,,,,,,,,,,,,
2566,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,นครราชสีมา,31990102220201A,คณะวิทยาศาสตร์และศิลปศาสตร์,วท.บ.วิทยาการคอมพิวเตอร์,,,0,5,49,5,46.4610,50.8166,20,20,,,,,20,,,,,,20,20,
2566,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,สุรินทร์,31990220220201A,คณะเกษตรศาสตร์และเทคโนโลยี,วท.บ.วิทยาการคอมพิวเตอร์,,,0,20,3,0,53.1498,53.1498,20,10,,,,40,,,,,,10,10,10,
